"List of Projects as per Smart City Proposal : Udaipur","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Water Supply","58.0","Walled City","ABD","","Assured Water Supply"
"2.0","Sewerage","139.0","Walled City","ABD","","Wastewater Management"
"3.0","Power Supply","129.0","Walled City","ABD","","Power Supply"
"4.0","Drains, Relaying road & utility duct","148.0","Walled City","ABD","","Wastewater Management"
"5.0","Heritage & Street Light","63.0","Walled City","ABD","","Identity & Culture"
"6.0","Walled City Transport Infra","138.0","Walled City","ABD","","Transportation & Mobility"
"7.0","Piped Natural Gas","90.0","Walled City","ABD","","Power Supply"
"8.0","Solar Power Generation","82.0","Walled City","ABD","","Power Supply"
"9.0","Social Infra, Solid Waste, Fire Fighting  & Environment Lakes","14.0","Walled City","ABD","","Solid Waste Management"
"10.0","Other Costs","2.0","Walled City","ABD","","Unknown"
"11.0","GIS Technology for entire city","12.0","Smart Utilities","Pan City","","Governance"
"12.0","Smart Metres- Water","68.0","Smart Utilities","Pan City","","Assured Water Supply"
"13.0","Smart Metres- Electrical","72.0","Smart Utilities","Pan City","","Power Supply"
"14.0","City Bus With Smart bus shelters","62.0","Intelligent Transportation Mgmt Systems","Pan City","","Transportation & Mobility"
"15.0","GPS Enablement Of IPT","81.0","Intelligent Transportation Mgmt Systems","Pan City","","Transportation & Mobility"
"16.0","Parking Management with VMS, sensors","33.0","Intelligent Transportation Mgmt Systems","Pan City","","Transportation & Mobility"
"17.0","Smart signal, TIIMC, Surveillance system, App","6.0","Intelligent Transportation Mgmt Systems","Pan City","","Safety & Security"
