"List of Projects as per Smart City Proposal : Madurai","",""
"Sl No.","Projects in SCP","Cost (Rs. In Crore)"
"","Area Based Development (ABD)",""
"","Heritage Conservation and Open space Enhancements",""
"1.0","Heritage Precinct Improvement  Cultural centers","148.0"
"2.0","Main Heritage Routes  Pedestrian connectivity,Faade improvement, Paving,
Signage, etc.","40.0"
"3.0","Lighting Improvements (Pudhumandapam, Rayagopuram,etc)","19.0"
"4.0","Heritage Structures: Restoration and Surrounds improvement","32.0"
"5.0","Streetscape redesign  pedestrian pathways, underground ducting: power &
comm,  Landscaping, street furniture etc.","186.0"
"","Visitor Amenities and Tourism Infrastructure",""
"6.0","Bus Terminal Redevelopment  New MLCPs, etc.","110.0"
"7.0","Tourist Amenities  Tourist plaza, PIS info system,Wifi , etc","130.0"
"8.0","Smart Parking- IT enabled Multi-level parking system","60.0"
"9.0","Junction Improvement- major junctions, street intersection","14.0"
"10.0","Battery operated vehicles & E-Buses for tourists","9.0"
"","Basic Infrastructure Improvements",""
"11.0","Water, Sewerage, STP, RWH, SWD","301.0"
"12.0","Solid Waste - Bio methanation plant,Collection system","50.0"
"13.0","Social Infrastructure -Smart classes,Hospitals, SDC","20.0"
"14.0","Solar Energy- Solar park , LED Street light","95.0"
"15.0","Housing for all","11.0"
"16.0","Heritage Corridor- Vaigai River Front Development","20.0"
"","Pan City",""
"17.0","Integrated City Management & Control Centre","97.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
